project_name,unit_title,price,location,listing_date,property_type,size,bedrooms,bathrooms,rental_period,description,language,keywords,facilities
,"4 Bedroom House for sale in Bandar Seremban, Negeri Sembilan","RM211,900","Bandar Seremban, Seremban, Negeri Sembilan, Malaysia",,House,N/A,4,2,,"This property is a 0 Sqft house with 4 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Seremban, Negeri Sembilan. You can buy this house for a base price of RM211,900...",en,"Property,Malaysia,For Sale",Electricity; Fireplace; Heating
,"Land for sale in Tembeling, Pahang","RM90,000","Tembeling, Jerantut, Pahang, Malaysia",,Land,"95,347 Sqft",,,,"This property is a 95,347 Sqft land plot that is available for sale. It is located in Tembeling, Pahang. You can buy this land for a base price of RM90,000 (RM1/Sqft).",en,"Property,Malaysia,For Sale",
,"4 Bedroom House for sale in Ulu Kinta, Perak","RM448,800","Ulu Kinta, Kinta, Perak, Malaysia",,House,"1,400 Sqft",4,4,,"This property is a 1,400 Sqft house with 4 bedrooms and 4 bathrooms that is available for sale. It is located in Ulu Kinta, Perak and was completed in Jan 2023. You can buy this house for a...",en,"Property,Malaysia,For Sale",
,"5 Bedroom House for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM900,000","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,House,"2,500 Sqft",5,5,,"This property is a 2,500 Sqft house with 5 bedrooms and 5 bathrooms that is available for sale. It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this house for a base price of RM90...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"4 Bedroom House for sale in Ulu Kinta, Perak","RM498,000","Ulu Kinta, Kinta, Perak, Malaysia",,House,"15,069 Sqft",4,4,,"This property is a 15,069 Sqft house with 4 bedrooms and 4 bathrooms that is available for sale. It is located in Ulu Kinta, Perak and was completed in Jan 2022. You can buy this house for a...",en,"Property,Malaysia,For Sale",
,"4 Bedroom House for sale in Ulu Kinta, Perak","RM368,000","Ulu Kinta, Kinta, Perak, Malaysia",,House,"11,625 Sqft",4,2,,"This property is a 11,625 Sqft house with 4 bedrooms and 2 bathrooms that is available for sale. It is located in Ulu Kinta, Perak. You can buy this house for a base price of RM368,000 (RM32/Sqft...",en,"Property,Malaysia,For Sale",Electricity; Water; Integral Kitchen
,"4 Bedroom House for sale in Ulu Kinta, Perak","RM445,000","Ulu Kinta, Kinta, Perak, Malaysia",,House,"17,760 Sqft",4,3,,"This property is a 17,760 Sqft house with 4 bedrooms and 3 bathrooms that is available for sale. It is located in Ulu Kinta, Perak. You can buy this house for a base price of RM445,000 (RM25/Sqft...",en,"Property,Malaysia,For Sale",Electricity; Yard; Integral Kitchen
,"4 Bedroom House for sale in Ulu Kinta, Perak","RM338,000","Ulu Kinta, Kinta, Perak, Malaysia",,House,"12,917 Sqft",4,3,,"This property is a 12,917 Sqft house with 4 bedrooms and 3 bathrooms that is available for sale. It is located in Ulu Kinta, Perak. You can buy this house for a base price of RM338,000 (RM26/Sqft...",en,"Property,Malaysia,For Sale",Electricity; Water; Terrace
,"4 Bedroom House for sale in Ulu Kinta, Perak","RM278,880","Ulu Kinta, Kinta, Perak, Malaysia",,House,"16,146 Sqft",4,2,,"This property is a 16,146 Sqft house with 4 bedrooms and 2 bathrooms that is available for sale. It is located in Ulu Kinta, Perak. You can buy this house for a base price of RM278,880 (RM17/Sqft...",en,"Property,Malaysia,For Sale",
,"4 Bedroom House for sale in Ulu Kinta, Perak","RM228,880","Ulu Kinta, Kinta, Perak, Malaysia",,House,"15,069 Sqft",4,2,,"This property is a 15,069 Sqft house with 4 bedrooms and 2 bathrooms that is available for sale. It is located in Ulu Kinta, Perak. You can buy this house for a base price of RM228,880 (RM15/Sqft...",en,"Property,Malaysia,For Sale",
,"4 Bedroom House for sale in Ulu Kinta, Perak","RM308,000","Ulu Kinta, Kinta, Perak, Malaysia",,House,"1,540 Sqft",4,2,,"This property is a 1,540 Sqft house with 4 bedrooms and 2 bathrooms that is available for sale. It is located in Ulu Kinta, Perak. You can buy this house for a base price of RM308,000 (RM199/Sqft...",en,"Property,Malaysia,For Sale",
,"4 Bedroom House for sale in Ulu Kinta, Perak","RM498,000","Ulu Kinta, Kinta, Perak, Malaysia",,House,"33,153 Sqft",4,4,,"This property is a 33,153 Sqft house with 4 bedrooms and 4 bathrooms that is available for sale. It is located in Ulu Kinta, Perak. You can buy this house for a base price of RM498,000 (RM15/Sqft...",en,"Property,Malaysia,For Sale",Electricity; Water; Integral Kitchen
,"4 Bedroom House for sale in Ulu Kinta, Perak","RM378,000","Ulu Kinta, Kinta, Perak, Malaysia",,House,"13,670 Sqft",4,3,,"This property is a 13,670 Sqft house with 4 bedrooms and 3 bathrooms that is available for sale. It is located in Ulu Kinta, Perak. You can buy this house for a base price of RM378,000 (RM28/Sqft...",en,"Property,Malaysia,For Sale",Electricity; Water; Integral Kitchen
,"4 Bedroom House for sale in Ulu Kinta, Perak","RM450,000","Ulu Kinta, Kinta, Perak, Malaysia",,House,"17,760 Sqft",4,3,,"This property is a 17,760 Sqft house with 4 bedrooms and 3 bathrooms that is available for sale. It is located in Ulu Kinta, Perak. You can buy this house for a base price of RM450,000 (RM25/Sqft...",en,"Property,Malaysia,For Sale",Electricity; Water
,"4 Bedroom House for sale in Bandar Melaka, Melaka","RM297,880","Bandar Melaka, Melaka Tengah Central Malacca, Melaka, Malaysia",,House,N/A,4,4,,"This property is a 0 Sqft house with 4 bedrooms and 4 bathrooms that is available for sale. It is located in Bandar Melaka, Melaka. You can buy this house for a base price of RM297,880 ().",en,"Property,Malaysia,For Sale",Heating; Office; Water
,"4 Bedroom House for sale in Ulu Kinta, Perak","RM420,000","Ulu Kinta, Kinta, Perak, Malaysia",,House,"11,840 Sqft",4,3,,"This property is a 11,840 Sqft house with 4 bedrooms and 3 bathrooms that is available for sale. It is located in Ulu Kinta, Perak. You can buy this house for a base price of RM420,000 (RM35/Sqft...",en,"Property,Malaysia,For Sale",Electricity; Water; Integral Kitchen
,"4 Bedroom House for sale in Ulu Kinta, Perak","RM549,000","Ulu Kinta, Kinta, Perak, Malaysia",,House,"1,400 Sqft",4,3,,"This property is a 1,400 Sqft house with 4 bedrooms and 3 bathrooms that is available for sale. It is located in Ulu Kinta, Perak. You can buy this house for a base price of RM549,000 (RM390/Sqft...",en,"Property,Malaysia,For Sale",Garden Access
,"4 Bedroom House for sale in Ulu Kinta, Perak","RM358,000","Ulu Kinta, Kinta, Perak, Malaysia",,House,"1,400 Sqft",4,2,,"This property is a 1,400 Sqft house with 4 bedrooms and 2 bathrooms that is available for sale. It is located in Ulu Kinta, Perak and was completed in Jan 2022. You can buy this house for a...",en,"Property,Malaysia,For Sale",
,"4 Bedroom House for sale in Ulu Kinta, Perak","RM238,800","Ulu Kinta, Kinta, Perak, Malaysia",,House,"1,001 Sqft",4,2,,"This property is a 1,001 Sqft house with 4 bedrooms and 2 bathrooms that is available for sale. It is located in Ulu Kinta, Perak and was completed in Jan 2024. You can buy this house for a...",en,"Property,Malaysia,For Sale",
,"4 Bedroom House for sale in Ulu Kinta, Perak","RM298,800","Ulu Kinta, Kinta, Perak, Malaysia",,House,"1,001 Sqft",4,2,,"This property is a 1,001 Sqft house with 4 bedrooms and 2 bathrooms that is available for sale. It is located in Ulu Kinta, Perak and was completed in Jan 2023. You can buy this house for a...",en,"Property,Malaysia,For Sale",
,"4 Bedroom House for sale in Ulu Kinta, Perak","RM238,800","Ulu Kinta, Kinta, Perak, Malaysia",,House,"1,001 Sqft",4,2,,"This property is a 1,001 Sqft house with 4 bedrooms and 2 bathrooms that is available for sale. It is located in Ulu Kinta, Perak and was completed in Jan 2024. You can buy this house for a...",en,"Property,Malaysia,For Sale",
,"4 Bedroom Villa for sale in Ulu Kinta, Perak","RM497,000","Ulu Kinta, Kinta, Perak, Malaysia",,Villa,"38,750 Sqft",4,2,,"This property is a 38,750 Sqft villa with 4 bedrooms and 2 bathrooms that is available for sale. It is located in Ulu Kinta, Perak. You can buy this villa for a base price of RM497,000 (RM13/Sqft...",en,"Property,Malaysia,For Sale",
,"4 Bedroom House for sale in Ulu Kinta, Perak","RM468,000","Ulu Kinta, Kinta, Perak, Malaysia",,House,"30,139 Sqft",4,2,,"This property is a 30,139 Sqft house with 4 bedrooms and 2 bathrooms that is available for sale. It is located in Ulu Kinta, Perak. You can buy this house for a base price of RM468,000 (RM16/Sqft...",en,"Property,Malaysia,For Sale",
,"4 Bedroom House for sale in Ulu Kinta, Perak","RM429,000","Ulu Kinta, Kinta, Perak, Malaysia",,House,"1,400 Sqft",4,4,,"This property is a 1,400 Sqft house with 4 bedrooms and 4 bathrooms that is available for sale. It is located in Ulu Kinta, Perak. You can buy this house for a base price of RM429,000 (RM305/Sqft...",en,"Property,Malaysia,For Sale",
,"4 Bedroom House for sale in Ulu Kinta, Perak","RM380,000","Ulu Kinta, Kinta, Perak, Malaysia",,House,"13,778 Sqft",4,3,,"This property is a 13,778 Sqft house with 4 bedrooms and 3 bathrooms that is available for sale. It is located in Ulu Kinta, Perak. You can buy this house for a base price of RM380,000 (RM27/Sqft...",en,"Property,Malaysia,For Sale",Electricity; Water
,"4 Bedroom House for sale in Ulu Kinta, Perak","RM448,800","Ulu Kinta, Kinta, Perak, Malaysia",,House,"1,722 Sqft",4,4,,"This property is a 1,722 Sqft house with 4 bedrooms and 4 bathrooms that is available for sale. It is located in Ulu Kinta, Perak and was completed in Jan 2023. You can buy this house for a...",en,"Property,Malaysia,For Sale",Balcony
,"4 Bedroom House for sale in Ulu Kinta, Perak","RM380,000","Ulu Kinta, Kinta, Perak, Malaysia",,House,"1,350 Sqft",4,3,,"This property is a 1,350 Sqft house with 4 bedrooms and 3 bathrooms that is available for sale. It is located in Ulu Kinta, Perak and was completed in Jan 1985. You can buy this house for a...",en,"Property,Malaysia,For Sale",Electricity; Water
,"4 Bedroom House for sale in Ulu Kinta, Perak","RM358,800","Ulu Kinta, Kinta, Perak, Malaysia",,House,"1,001 Sqft",4,2,,"This property is a 1,001 Sqft house with 4 bedrooms and 2 bathrooms that is available for sale. It is located in Ulu Kinta, Perak and was completed in Jan 2025. You can buy this house for a...",en,"Property,Malaysia,For Sale",
,"4 Bedroom House for sale in Ulu Kinta, Perak","RM338,000","Ulu Kinta, Kinta, Perak, Malaysia",,House,"12,077 Sqft",4,3,,"This property is a 12,077 Sqft house with 4 bedrooms and 3 bathrooms that is available for sale. It is located in Ulu Kinta, Perak. You can buy this house for a base price of RM338,000 (RM28/Sqft...",en,"Property,Malaysia,For Sale",
,"4 Bedroom House for sale in Ulu Kinta, Perak","RM468,000","Ulu Kinta, Kinta, Perak, Malaysia",,House,"10,764 Sqft",4,3,,"This property is a 10,764 Sqft house with 4 bedrooms and 3 bathrooms that is available for sale. It is located in Ulu Kinta, Perak. You can buy this house for a base price of RM468,000 (RM43/Sqft...",en,"Property,Malaysia,For Sale",
,"4 Bedroom House for sale in Ulu Kinta, Perak","RM620,000","Ulu Kinta, Kinta, Perak, Malaysia",,House,"26,372 Sqft",4,4,,"This property is a 26,372 Sqft house with 4 bedrooms and 4 bathrooms that is available for sale. It is located in Ulu Kinta, Perak. You can buy this house for a base price of RM620,000 (RM23/Sqft...",en,"Property,Malaysia,For Sale",
,"4 Bedroom House for sale in Ulu Kinta, Perak","RM320,000","Ulu Kinta, Kinta, Perak, Malaysia",,House,"13,993 Sqft",4,3,,"This property is a 13,993 Sqft house with 4 bedrooms and 3 bathrooms that is available for sale. It is located in Ulu Kinta, Perak. You can buy this house for a base price of RM320,000 (RM23/Sqft...",en,"Property,Malaysia,For Sale",
,"4 Bedroom House for sale in Ulu Kinta, Perak","RM345,000","Ulu Kinta, Kinta, Perak, Malaysia",,House,"13,993 Sqft",4,3,,"This property is a 13,993 Sqft house with 4 bedrooms and 3 bathrooms that is available for sale. It is located in Ulu Kinta, Perak. You can buy this house for a base price of RM345,000 (RM25/Sqft...",en,"Property,Malaysia,For Sale",
,"4 Bedroom House for sale in Ulu Kinta, Perak","RM450,000","Ulu Kinta, Kinta, Perak, Malaysia",,House,"15,069 Sqft",4,3,,"This property is a 15,069 Sqft house with 4 bedrooms and 3 bathrooms that is available for sale. It is located in Ulu Kinta, Perak. You can buy this house for a base price of RM450,000 (RM30/Sqft...",en,"Property,Malaysia,For Sale",
,"4 Bedroom House for sale in Ulu Kinta, Perak","RM298,000","Ulu Kinta, Kinta, Perak, Malaysia",,House,"15,069 Sqft",4,2,,"This property is a 15,069 Sqft house with 4 bedrooms and 2 bathrooms that is available for sale. It is located in Ulu Kinta, Perak. You can buy this house for a base price of RM298,000 (RM20/Sqft...",en,"Property,Malaysia,For Sale",Garden Access
,"4 Bedroom House for sale in Ulu Kinta, Perak","RM250,000","Ulu Kinta, Kinta, Perak, Malaysia",,House,"15,069 Sqft",4,3,,"This property is a 15,069 Sqft house with 4 bedrooms and 3 bathrooms that is available for sale. It is located in Ulu Kinta, Perak. You can buy this house for a base price of RM250,000 (RM17/Sqft...",en,"Property,Malaysia,For Sale",
,"4 Bedroom House for sale in Ulu Kinta, Perak","RM438,000","Ulu Kinta, Kinta, Perak, Malaysia",,House,"3,600 Sqft",4,4,,"This property is a 3,600 Sqft house with 4 bedrooms and 4 bathrooms that is available for sale. It is located in Ulu Kinta, Perak. You can buy this house for a base price of RM438,000 (RM121/Sqft...",en,"Property,Malaysia,For Sale",
,"4 Bedroom House for sale in Ulu Kinta, Perak","RM450,000","Ulu Kinta, Kinta, Perak, Malaysia",,House,"1,540 Sqft",4,4,,"This property is a 1,540 Sqft house with 4 bedrooms and 4 bathrooms that is available for sale. It is located in Ulu Kinta, Perak. You can buy this house for a base price of RM450,000 (RM291/Sqft...",en,"Property,Malaysia,For Sale",
,"Condo for sale in Putrajaya, Putrajaya","RM280,000","Putrajaya, Putrajaya, Putrajaya, Malaysia",,Condo,N/A,,,,"It is located in Putrajaya, Putrajaya. You can buy this condo for a base price of RM280,000 ().",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"4 Bedroom House for sale in Ulu Kinta, Perak","RM195,000","Ulu Kinta, Kinta, Perak, Malaysia",,House,"13,993 Sqft",4,2,,"This property is a 13,993 Sqft house with 4 bedrooms and 2 bathrooms that is available for sale. It is located in Ulu Kinta, Perak. You can buy this house for a base price of RM195,000 (RM14/Sqft...",en,"Property,Malaysia,For Sale",
,"4 Bedroom House for sale in Ulu Kinta, Perak","RM355,000","Ulu Kinta, Kinta, Perak, Malaysia",,House,"16,576 Sqft",4,3,,"This property is a 16,576 Sqft house with 4 bedrooms and 3 bathrooms that is available for sale. It is located in Ulu Kinta, Perak. You can buy this house for a base price of RM355,000 (RM21/Sqft...",en,"Property,Malaysia,For Sale",
,"4 Bedroom House for sale in Ulu Kinta, Perak","RM278,880","Ulu Kinta, Kinta, Perak, Malaysia",,House,"1,001 Sqft",4,2,,"This property is a 1,001 Sqft house with 4 bedrooms and 2 bathrooms that is available for sale. It is located in Ulu Kinta, Perak and was completed in Jan 2024. You can buy this house for a...",en,"Property,Malaysia,For Sale",
,"4 Bedroom House for sale in Putrajaya, Putrajaya","RM352,600","Putrajaya, Putrajaya, Putrajaya, Malaysia",,House,N/A,4,4,,"This property is a 0 Sqft house with 4 bedrooms and 4 bathrooms that is available for sale. It is located in Putrajaya, Putrajaya. You can buy this house for a base price of RM352,600 ().",en,"Property,Malaysia,For Sale",Fireplace; Water; Integral Kitchen
,"Condo for sale in Putrajaya, Putrajaya","RM280,000","Putrajaya, Putrajaya, Putrajaya, Malaysia",,Condo,N/A,,,,"It is located in Putrajaya, Putrajaya. You can buy this condo for a base price of RM280,000 ().",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"4 Bedroom House for sale in Ulu Kinta, Perak","RM600,000","Ulu Kinta, Kinta, Perak, Malaysia",,House,"44,132 Sqft",4,3,,"This property is a 44,132 Sqft house with 4 bedrooms and 3 bathrooms that is available for sale. It is located in Ulu Kinta, Perak. You can buy this house for a base price of RM600,000 (RM14/Sqft...",en,"Property,Malaysia,For Sale",
,"4 Bedroom House for sale in Ulu Kinta, Perak","RM358,000","Ulu Kinta, Kinta, Perak, Malaysia",,House,"12,917 Sqft",4,4,,"This property is a 12,917 Sqft house with 4 bedrooms and 4 bathrooms that is available for sale. It is located in Ulu Kinta, Perak. You can buy this house for a base price of RM358,000 (RM28/Sqft...",en,"Property,Malaysia,For Sale",
,"Condo for sale in Putrajaya, Putrajaya","RM345,000","Putrajaya, Putrajaya, Putrajaya, Malaysia",,Condo,N/A,,,,"It is located in Putrajaya, Putrajaya. You can buy this condo for a base price of RM345,000 ().",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"4 Bedroom House for sale in Putrajaya, Putrajaya","RM418,200","Putrajaya, Putrajaya, Putrajaya, Malaysia",,House,N/A,4,4,,"This property is a 0 Sqft house with 4 bedrooms and 4 bathrooms that is available for sale. It is located in Putrajaya, Putrajaya. You can buy this house for a base price of RM418,200 ().",en,"Property,Malaysia,For Sale",Fireplace; Heating; Office
,"4 Bedroom House for sale in Putrajaya, Putrajaya","RM388,800","Putrajaya, Putrajaya, Putrajaya, Malaysia",,House,N/A,4,4,,"This property is a 0 Sqft house with 4 bedrooms and 4 bathrooms that is available for sale. It is located in Putrajaya, Putrajaya. You can buy this house for a base price of RM388,800 ().",en,"Property,Malaysia,For Sale",Heating; Office; Integral Kitchen
,"4 Bedroom House for sale in Putrajaya, Putrajaya","RM299,880","Putrajaya, Putrajaya, Putrajaya, Malaysia",,House,N/A,4,3,,"This property is a 0 Sqft house with 4 bedrooms and 3 bathrooms that is available for sale. It is located in Putrajaya, Putrajaya. You can buy this house for a base price of RM299,880 ().",en,"Property,Malaysia,For Sale",Heating; Office; Integral Kitchen
,"4 Bedroom House for sale in Ulu Kinta, Perak","RM290,000","Ulu Kinta, Kinta, Perak, Malaysia",,House,N/A,4,3,,"This property is a 0 Sqft house with 4 bedrooms and 3 bathrooms that is available for sale. It is located in Ulu Kinta, Perak. You can buy this house for a base price of RM290,000 ().",en,"Property,Malaysia,For Sale",
,"4 Bedroom House for sale in Ulu Kinta, Perak","RM368,000","Ulu Kinta, Kinta, Perak, Malaysia",,House,"1,001 Sqft",4,2,,"This property is a 1,001 Sqft house with 4 bedrooms and 2 bathrooms that is available for sale. It is located in Ulu Kinta, Perak. You can buy this house for a base price of RM368,000 (RM366/Sqft...",en,"Property,Malaysia,For Sale",
,"4 Bedroom House for sale in Ulu Kinta, Perak","RM510,000","Ulu Kinta, Kinta, Perak, Malaysia",,House,"17,760 Sqft",4,4,,"This property is a 17,760 Sqft house with 4 bedrooms and 4 bathrooms that is available for sale. It is located in Ulu Kinta, Perak. You can buy this house for a base price of RM510,000 (RM29/Sqft...",en,"Property,Malaysia,For Sale",
,"4 Bedroom House for sale in Putrajaya, Putrajaya","RM380,000","Putrajaya, Putrajaya, Putrajaya, Malaysia",,House,"2,000 Sqft",4,3,,"This property is a 2,000 Sqft house with 4 bedrooms and 3 bathrooms that is available for sale. It is located in Putrajaya, Putrajaya. You can buy this house for a base price of RM380,000 (RM190/...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"4 Bedroom House for sale in Putrajaya, Putrajaya","RM300,000","Putrajaya, Putrajaya, Putrajaya, Malaysia",,House,N/A,4,4,,"This property is a 0 Sqft house with 4 bedrooms and 4 bathrooms that is available for sale. It is located in Putrajaya, Putrajaya. You can buy this house for a base price of RM300,000 ().",en,"Property,Malaysia,For Sale",Heating; Office; Integral Kitchen
,"4 Bedroom House for sale in Putrajaya, Putrajaya","RM402,900","Putrajaya, Putrajaya, Putrajaya, Malaysia",,House,N/A,4,4,,"This property is a 0 Sqft house with 4 bedrooms and 4 bathrooms that is available for sale. It is located in Putrajaya, Putrajaya. You can buy this house for a base price of RM402,900 ().",en,"Property,Malaysia,For Sale",Electricity; Fireplace; Heating
,"Condo for sale in Putrajaya, Putrajaya","RM300,000","Putrajaya, Putrajaya, Putrajaya, Malaysia",,Condo,N/A,,,,"It is located in Putrajaya, Putrajaya. You can buy this condo for a base price of RM300,000 ().",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"4 Bedroom House for sale in Putrajaya, Putrajaya","RM351,600","Putrajaya, Putrajaya, Putrajaya, Malaysia",,House,N/A,4,4,,"This property is a 0 Sqft house with 4 bedrooms and 4 bathrooms that is available for sale. It is located in Putrajaya, Putrajaya. You can buy this house for a base price of RM351,600 ().",en,"Property,Malaysia,For Sale",Fireplace; Heating; Yard
,"Condo for sale in Bandar Kuala Lumpur, Kuala Lumpur","RM438,800","Bandar Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,Condo,"1,400 Sqft",,,,"It is located in Bandar Kuala Lumpur, Kuala Lumpur. You can buy this condo for a base price of RM438,800 (RM313/Sqft).",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"4 Bedroom House for sale in Putrajaya, Putrajaya","RM286,999","Putrajaya, Putrajaya, Putrajaya, Malaysia",,House,N/A,4,3,,"This property is a 0 Sqft house with 4 bedrooms and 3 bathrooms that is available for sale. It is located in Putrajaya, Putrajaya. You can buy this house for a base price of RM286,999 ().",en,"Property,Malaysia,For Sale",Service Room; Jacuzzi; Full Western Kitchen
,"4 Bedroom House for sale in Putrajaya, Putrajaya","RM592,300","Putrajaya, Putrajaya, Putrajaya, Malaysia",,House,N/A,4,4,,"This property is a 0 Sqft house with 4 bedrooms and 4 bathrooms that is available for sale. It is located in Putrajaya, Putrajaya. You can buy this house for a base price of RM592,300 ().",en,"Property,Malaysia,For Sale",Office; Integral Kitchen; Jacuzzi
,"4 Bedroom House for sale in Ulu Kinta, Perak","RM718,000","Ulu Kinta, Kinta, Perak, Malaysia",,House,"2,347 Sqft",4,4,,"This property is a 2,347 Sqft house with 4 bedrooms and 4 bathrooms that is available for sale. It is located in Ulu Kinta, Perak and was completed in Jan 2022. You can buy this house for a...",en,"Property,Malaysia,For Sale",
,"6 Bedroom House for sale in Putrajaya, Putrajaya","RM3,859,000","Putrajaya, Putrajaya, Putrajaya, Malaysia",,House,"4,881 Sqft",6,6,,"This property is a 4,881 Sqft house with 6 bedrooms and 6 bathrooms that is available for sale. It is located in Putrajaya, Putrajaya. You can buy this house for a base price of RM3,859,000 (RM78...",en,"Property,Malaysia,For Sale",
,"4 Bedroom House for sale in Ulu Kinta, Perak","RM389,000","Ulu Kinta, Kinta, Perak, Malaysia",,House,"16,146 Sqft",4,4,,"This property is a 16,146 Sqft house with 4 bedrooms and 4 bathrooms that is available for sale. It is located in Ulu Kinta, Perak. You can buy this house for a base price of RM389,000 (RM24/Sqft...",en,"Property,Malaysia,For Sale",Electricity; Water
